variable,question,module,type,full,short,hce,default,coding
s54,For how long did [name] have difficulty breathing? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s55991,Breathing difficulty was continuous,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s55992,Breathing difficulty was on-and-off,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s56991,Breathing difficulty worse in lying position,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s56992,Breathing difficulty worse in sitting position,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s56993,Breathing difficulty worse in walking position,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s56994,Breathing difficulty not worse in any position,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s58,Did [name] have fast breathing?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s59,For how long did [name] have fast breathing? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s60,Did [name] wheeze?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s61,Did [name] experience pain in the chest in the month preceding death?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s62,Pain greater than 24 hours,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s63,Was the pain during physical activity?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s64991,Pain located in chest,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s64992,Pain located in left arm,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s66,Did [name] have more frequent loose or liquid stools than usual?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s67,For how long before death did [name] have loose or liquid stools? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s68,Did [name] have a change in bowel habits?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s69,Was there blood in the stool?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s70,Was there blood in the stool up until death?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s71,Did [name] stop urinating?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s72,Did [name] vomit in the week preceding the death?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s73,For how long before death did [name] vomit? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s74,Was there blood in the vomit?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s75,Was the vomit black?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s76,Did [name] have difficulty swallowing?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s77,For how long before death did [name] have difficulty swallowing? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s78,Difficulty swallowing both solids and liquids,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s79,Did [name] have pain upon swallowing?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s80,Did [name] have belly pain?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s81,For how long before death did [name] have belly pain? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s82991,Pain located in lower belly,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s84,Did [name] have a more than usual protruding belly?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s85,For how long before death did [name] have a protruding belly? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s86,Slowly protruding belly,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s87,Did [name] have any mass in the belly?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s88,For how long before death did [name] have a mass in the belly [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s89,Did [name] have headaches?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s90,For how long before death did [name] have headaches? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s91,Rapid headache onset,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s92,Did [name] have a stiff neck?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s93,For how long before death did [name] have stiff neck? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s94,Did [name] experience a period of loss of consciousness?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s95,Sudden loss of consciousness,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s96,For how long did the period of loss of consciousness last? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s97,Did it continue until death?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s98,Did [name] experience a period of confusion at any time in the three months prior to death?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s99,For how long did the period of confusion last? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s100,Sudden confusion,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s101,Did [name] experience memory loss at any time in the three months prior to death?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s102,Did [name] have convulsions?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s103,For how long before death did the convulsions last? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s104,Did the person become unconscious immediately after the convulsions?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s105,Was [name] in any way paralyzed?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s106,For how long before death did [name] have paralysis? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s107,Paralyzed on one side (arm and leg),adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s109,Paralyzed lower part of body,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s110,Paralyzed upper part of body,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s111,Paralyzed one leg only,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s112,Paralyzed one arm only,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s113,Paralyzed whole body,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s114,Paralyzed refused,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s115,Paralyzed don't know,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s116,Paralyzed other,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s118,Did [name] have any swelling or lump in the breast?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s119,Did [name] have any ulcers (pits) in the breast?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s120,Had [name] periods stopped naturally because of menopause,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s121,Did [name] have vaginal bleeding after cessation of menstruation? (post menopausal),adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s122,Did [name] have vaginal bleeding other than her period? (intermenstrual),adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s123,Was there excessive vaginal bleeding in the week prior to death?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s124,At the time of death was her period overdue?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s125,For how many weeks was her period overdue? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s126,Did [name] have a sharp pain in the belly shortly before death?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s127,Was [name] pregnant at the time of death?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s128, For how many months was she pregnant? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s129,Did [name] die during an abortion?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s130,Did bleeding occur while she was pregnant?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s131,Did she have excessive bleeding during labor or delivery?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s132,Did she die during labor or delivery?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s133,For how long was she in labor? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s134,Did she die within 6 weeks after having an abortion?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s135,Did she die within 6 weeks of childbirth?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s136,Did she have excessive bleeding after delivery or abortion?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s137,Did [name] have bad smelling vaginal discharge within 6 weeks after delivery or abortion?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s138,Did [name] use tobacco?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s139,Type of tobacco used: cigarettes,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s140,Type of tobacco used: pipe,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s141,Type of tobacco used: chewing,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s142,Type of tobacco used: local tobacco,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s143,Type of tobacco used: other,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s145,Type of tobacco used: refused,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s146,Type of tobacco used: don't know,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s147,How much pipe/chewing tobacco did [name] use daily?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s148,How many cigarettes did [name] smoke daily?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s149,Did [name] drink alcohol?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s150991,Amount of alcohol drank daily was low,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s150992,Amount of alcohol drank daily was moderate to large,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s151,Decedent suffered road traffic injury,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s152,Decedent suffered fall,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s153,Decedent suffered drowning,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s154,Decedent suffered poisoning,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s155,Decedent suffered bite/sting,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s156,Decedent suffered burn,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s157,Decedent victim of violence,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s158,Decedent did not suffer any injuries,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s159,Decedent suffered other injury,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s161,Was the injury or accident self-inflicted?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s162,Was the injury or accident intentionally inflicted by someone else?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s88881,age quartile 1,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s88882,age quartile 2,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s88883,age quartile 3,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s88884,age quartile 4,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s99991,word_abdomen,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s99992,word_accid,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s99993,word_alcohol,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s99994,word_ami,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s99995,word_amput,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s99996,word_anemia,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s99997,word_antibiot,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s99998,word_appetit,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s99999,word_arrest,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999910,word_arteri,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999911,word_asthma,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999912,word_attack,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999913,word_babi,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999914,word_bacteria,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999915,word_biopsi,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999916,word_birth,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999917,word_bite,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999918,word_black,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999919,word_blood,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999920,word_bone,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999921,word_born,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999922,word_bowel,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999923,word_brain,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999924,word_breast,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999925,word_breath,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999926,word_broken,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999927,word_cancer,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999928,word_cardio,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999929,word_cardiomegali,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999930,word_cathet,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999931,word_cerebr,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999932,word_cervix,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999933,word_cesarean,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999934,word_chemotherapi,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999935,word_chest,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999936,word_chronic,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999937,word_cirrhosi,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999938,word_clot,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999939,word_collaps,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999940,word_colon,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999941,word_coma,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999942,word_congest,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999943,word_conscious,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999944,word_convuls,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999945,word_copd,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999946,word_cough,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999947,word_ctscan,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999948,word_cut,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999949,word_deliv,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999950,word_depress,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999951,word_diabet,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999952,word_dialysi,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s999953,word_diarrhea,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999954,word_digest,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999955,word_dizzi,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999956,word_drink,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999957,word_drown,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999958,word_dyspnea,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999959,word_ecg,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999960,word_edema,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999961,word_electr,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999962,word_encephalopathi,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999963,word_enlarg,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999964,word_epilepsi,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999965,word_esophag,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999966,word_failur,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999967,word_faint,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999968,word_fall,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999969,word_fever,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s999970,word_finger,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999971,word_fire,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999972,word_fluid,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999973,word_foot,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999974,word_fractur,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999975,word_goiter,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999976,word_hand,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999977,word_head,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999978,word_headach,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999979,word_heart,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s999980,word_hematoma,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999981,word_hemorrhag,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999982,word_hepat,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999983,word_hernia,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999984,word_hiv,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999985,word_hypertens,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999986,word_hypovolem,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999987,word_icu,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999988,word_infarct,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999989,word_infect,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999990,word_inflam,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999991,word_inhal,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999992,word_injuri,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999993,word_intestin,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999994,word_intracerebr,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999995,word_intub,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999996,word_ischemia,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999997,word_jaundic,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s999998,word_kerosen,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s999999,word_kidney,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s9999100,word_kill,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999101,word_knee,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999102,word_labor,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999103,word_leukemia,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999104,word_liver,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s9999105,word_lump,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999106,word_lung,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999107,word_lymphoma,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999108,word_malaria,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s9999109,word_mass,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999110,word_mellitus,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999111,word_mental,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999112,word_motorcycl,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999113,word_neck,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999114,word_nephropathi,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999115,word_nerv,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999116,word_numb,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
